email_text,label
Invitation: join our webinar on maintenance predictive at 09:00.,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://dhl-track-package.support/confirm This is your final notice.,1
Invitation: join our webinar on quality at 11:30.,0
Meeting reminder: quality at 11:30. Location: Teams. More info: https://www.paypal.com,0
Welcome to Orange! Here are tips to get started.,0
Welcome to DHL! Here are tips to get started.,0
Reminder: appointment confirmed for 2026-03-05 at 11:30.,0
Payment failed. Update billing information: http://dhl-track-package.support/confirm,1
Welcome to Microsoft 365! Here are tips to get started. More info: https://www.amazon.com,0
Congratulations! You won a prize. Claim within 24 hours: http://account-locked-reset.com/recover Verify within 1 hour.,1
Project update: please review the attached report and share feedback. More info: https://www.dhl.com,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://account-locked-reset.com/recover Verify within 1 hour.,1
Monthly statement is available in your secure portal.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://microsoft-support-alert.net/verify,1
Project update: please review the attached report and share feedback.,0
Invoice #50275 is overdue. Pay immediately to avoid penalty: http://bit.ly/3xYzAbC Verify within 1 hour.,1
Welcome to Netflix! Here are tips to get started. More info: https://support.google.com,0
Congratulations! You won a prize. Claim within 24 hours: http://paypaI.com-login-secure.info/auth,1
Meeting reminder: quality at 09:00. Location: Office.,0
Receipt for your purchase at DHL. Total: $49.00. Thank you.,0
Payment failed. Update billing information: http://paypaI.com-login-secure.info/auth Verify within 1 hour.,1
We couldn't deliver your package. Update delivery address: http://security-verify-login.com/update,1
Invitation: join our webinar on cybersecurity at 14:00. More info: https://www.paypal.com,0
Monthly statement is available in your secure portal. More info: https://support.google.com,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://security-verify-login.com/update This is your final notice.,1
Meeting reminder: project management at 14:00. Location: Teams.,0
Invoice #12001 is overdue. Pay immediately to avoid penalty: http://185.12.44.9/login Please act now.,1
Newsletter: New articles about cybersecurity. Read on our website.,0
Your order #34853 has shipped. Track it in your account dashboard. More info: https://www.netflix.com,0
Bank notice: suspicious transaction. Please validate your identity: http://security-verify-login.com/update,1
Newsletter: New articles about project management. Read on our website.,0
Action required: tax refund pending. Submit details: http://bit.ly/3xYzAbC Verify within 1 hour.,1
Meeting reminder: project management at 11:30. Location: Zoom.,0
Project update: please review the attached report and share feedback.,0
Action required: tax refund pending. Submit details: http://microsoft-support-alert.net/verify,1
Payment failed. Update billing information: http://paypaI.com-login-secure.info/auth Please act now.,1
We couldn't deliver your package. Update delivery address: http://bit.ly/3xYzAbC Please act now.,1
URGENT: Your Google account will be suspended. Verify now: http://security-verify-login.com/update,1
URGENT: Your Dropbox account will be suspended. Verify now: http://185.12.44.9/login Verify within 1 hour.,1
URGENT: Your Dropbox account will be suspended. Verify now: http://security-verify-login.com/update,1
URGENT: Your Orange account will be suspended. Verify now: http://microsoft-support-alert.net/verify,1
Monthly statement is available in your secure portal. More info: https://www.paypal.com,0
Meeting reminder: project management at 18:00. Location: Lab 2.,0
Your order #70201 has shipped. Track it in your account dashboard.,0
We couldn't deliver your package. Update delivery address: http://185.12.44.9/login This is your final notice.,1
Project update: please review the attached report and share feedback.,0
Monthly statement is available in your secure portal.,0
IT Support: reset required. Click to re-authenticate: http://security-verify-login.com/update Please act now.,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://security-verify-login.com/update Verify within 1 hour.,1
Meeting reminder: cybersecurity at 16:15. Location: Teams.,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://security-verify-login.com/update Please act now.,1
Payment failed. Update billing information: http://account-locked-reset.com/recover,1
Welcome to Microsoft 365! Here are tips to get started.,0
Invoice #94528 is overdue. Pay immediately to avoid penalty: http://185.12.44.9/login,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://paypaI.com-login-secure.info/auth This is your final notice.,1
Payment failed. Update billing information: http://bit.ly/3xYzAbC,1
Monthly statement is available in your secure portal.,0
Receipt for your purchase at Google. Total: $250.00. Thank you.,0
Your order #77496 has shipped. Track it in your account dashboard. More info: https://www.dhl.com,0
Welcome to Dropbox! Here are tips to get started.,0
Your subscription to Bank is active until 2026-03-12. More info: https://www.amazon.com,0
Invitation: join our webinar on quality at 09:00.,0
Reminder: appointment confirmed for 2026-03-05 at 11:30. More info: https://www.dhl.com,0
Welcome to PayPal! Here are tips to get started. More info: https://www.microsoft.com,0
Payment failed. Update billing information: http://microsoft-support-alert.net/verify Verify within 1 hour.,1
IT Support: reset required. Click to re-authenticate: http://account-locked-reset.com/recover,1
Receipt for your purchase at Microsoft 365. Total: $9.99. Thank you. More info: https://www.microsoft.com,0
Meeting reminder: maintenance predictive at 18:00. Location: Teams. More info: https://www.paypal.com,0
Newsletter: New articles about cybersecurity. Read on our website.,0
URGENT: Your PayPal account will be suspended. Verify now: http://security-verify-login.com/update This is your final notice.,1
Newsletter: New articles about data visualization. Read on our website. More info: https://www.amazon.com,0
Invoice #67576 is overdue. Pay immediately to avoid penalty: http://185.12.44.9/login,1
Receipt for your purchase at Netflix. Total: $250.00. Thank you. More info: https://support.google.com,0
Congratulations! You won a prize. Claim within 24 hours: http://account-locked-reset.com/recover Please act now.,1
Welcome to DHL! Here are tips to get started.,0
Congratulations! You won a prize. Claim within 24 hours: http://security-verify-login.com/update Verify within 1 hour.,1
Newsletter: New articles about IoT. Read on our website.,0
Welcome to Amazon! Here are tips to get started. More info: https://www.paypal.com,0
Action required: tax refund pending. Submit details: http://bit.ly/3xYzAbC,1
Payment failed. Update billing information: http://185.12.44.9/login This is your final notice.,1
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover,1
Project update: please review the attached report and share feedback.,0
Bank notice: suspicious transaction. Please validate your identity: http://185.12.44.9/login,1
Receipt for your purchase at Netflix. Total: $9.99. Thank you.,0
Reminder: appointment confirmed for 2026-03-10 at 18:00.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://security-verify-login.com/update,1
Meeting reminder: AI at 11:30. Location: Zoom.,0
Invoice #99049 is overdue. Pay immediately to avoid penalty: http://paypaI.com-login-secure.info/auth,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://bit.ly/3xYzAbC,1
Your subscription to PayPal is active until 2026-03-08. More info: https://www.paypal.com,0
Monthly statement is available in your secure portal. More info: https://www.microsoft.com,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://account-locked-reset.com/recover This is your final notice.,1
URGENT: Your Orange account will be suspended. Verify now: http://paypaI.com-login-secure.info/auth,1
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover,1
URGENT: Your Amazon account will be suspended. Verify now: http://paypaI.com-login-secure.info/auth,1
Monthly statement is available in your secure portal.,0
Receipt for your purchase at Netflix. Total: $120.50. Thank you. More info: https://www.microsoft.com,0
Action required: tax refund pending. Submit details: http://bit.ly/3xYzAbC Please act now.,1
Invitation: join our webinar on IoT at 18:00.,0
Receipt for your purchase at Netflix. Total: $9.99. Thank you.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://185.12.44.9/login This is your final notice.,1
Invoice #27162 is overdue. Pay immediately to avoid penalty: http://bit.ly/3xYzAbC,1
Receipt for your purchase at Google. Total: $250.00. Thank you.,0
Action required: tax refund pending. Submit details: http://microsoft-support-alert.net/verify,1
Invitation: join our webinar on cybersecurity at 11:30.,0
Your order #67037 has shipped. Track it in your account dashboard.,0
Welcome to Dropbox! Here are tips to get started.,0
Welcome to Dropbox! Here are tips to get started.,0
Your subscription to Dropbox is active until 2026-03-12.,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://paypaI.com-login-secure.info/auth Please act now.,1
Newsletter: New articles about cybersecurity. Read on our website.,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://security-verify-login.com/update,1
Bank notice: suspicious transaction. Please validate your identity: http://bit.ly/3xYzAbC Please act now.,1
IT Support: reset required. Click to re-authenticate: http://dhl-track-package.support/confirm This is your final notice.,1
IT Support: reset required. Click to re-authenticate: http://paypaI.com-login-secure.info/auth,1
Your order #93208 has shipped. Track it in your account dashboard.,0
Your order #80063 has shipped. Track it in your account dashboard.,0
Monthly statement is available in your secure portal. More info: https://www.dhl.com,0
Meeting reminder: cybersecurity at 18:00. Location: Teams.,0
Invoice #90689 is overdue. Pay immediately to avoid penalty: http://185.12.44.9/login,1
Receipt for your purchase at Dropbox. Total: $19.99. Thank you.,0
Receipt for your purchase at Bank. Total: $49.00. Thank you. More info: https://www.paypal.com,0
Bank notice: suspicious transaction. Please validate your identity: http://microsoft-support-alert.net/verify,1
Action required: tax refund pending. Submit details: http://paypaI.com-login-secure.info/auth,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://bit.ly/3xYzAbC Please act now.,1
Payment failed. Update billing information: http://bit.ly/3xYzAbC This is your final notice.,1
Invitation: join our webinar on IoT at 09:00.,0
URGENT: Your Dropbox account will be suspended. Verify now: http://bit.ly/3xYzAbC,1
Monthly statement is available in your secure portal.,0
Meeting reminder: data visualization at 09:00. Location: Zoom. More info: https://www.amazon.com,0
Meeting reminder: project management at 09:00. Location: Office.,0
Project update: please review the attached report and share feedback. More info: https://www.netflix.com,0
Reminder: appointment confirmed for 2026-03-08 at 11:30.,0
Your subscription to PayPal is active until 2026-03-05. More info: https://www.dhl.com,0
Receipt for your purchase at Orange. Total: $120.50. Thank you.,0
Invoice #90163 is overdue. Pay immediately to avoid penalty: http://security-verify-login.com/update,1
Payment failed. Update billing information: http://paypaI.com-login-secure.info/auth Please act now.,1
Bank notice: suspicious transaction. Please validate your identity: http://bit.ly/3xYzAbC This is your final notice.,1
Receipt for your purchase at DHL. Total: $250.00. Thank you. More info: https://www.dhl.com,0
Your order #60589 has shipped. Track it in your account dashboard.,0
Your order #96328 has shipped. Track it in your account dashboard.,0
Invitation: join our webinar on IoT at 11:30.,0
Reminder: appointment confirmed for 2026-03-08 at 14:00.,0
Invitation: join our webinar on cybersecurity at 16:15.,0
Welcome to Bank! Here are tips to get started. More info: https://www.amazon.com,0
Your subscription to PayPal is active until 2026-03-05.,0
Newsletter: New articles about project management. Read on our website.,0
Meeting reminder: project management at 14:00. Location: Lab 2. More info: https://www.netflix.com,0
Welcome to Google! Here are tips to get started.,0
Your subscription to Amazon is active until 2026-03-08. More info: https://www.amazon.com,0
We couldn't deliver your package. Update delivery address: http://microsoft-support-alert.net/verify Please act now.,1
Meeting reminder: quality at 11:30. Location: Teams.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://185.12.44.9/login Verify within 1 hour.,1
Your subscription to Bank is active until 2026-03-08.,0
Payment failed. Update billing information: http://paypaI.com-login-secure.info/auth,1
We couldn't deliver your package. Update delivery address: http://account-locked-reset.com/recover Verify within 1 hour.,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://microsoft-support-alert.net/verify This is your final notice.,1
Congratulations! You won a prize. Claim within 24 hours: http://account-locked-reset.com/recover Please act now.,1
Newsletter: New articles about cybersecurity. Read on our website. More info: https://www.amazon.com,0
Meeting reminder: data visualization at 09:00. Location: Room A.,0
Congratulations! You won a prize. Claim within 24 hours: http://185.12.44.9/login Please act now.,1
We couldn't deliver your package. Update delivery address: http://security-verify-login.com/update,1
Newsletter: New articles about AI. Read on our website.,0
URGENT: Your Apple ID account will be suspended. Verify now: http://account-locked-reset.com/recover Please act now.,1
Invitation: join our webinar on project management at 18:00. More info: https://www.paypal.com,0
Monthly statement is available in your secure portal.,0
Your order #77024 has shipped. Track it in your account dashboard.,0
Monthly statement is available in your secure portal.,0
URGENT: Your PayPal account will be suspended. Verify now: http://paypaI.com-login-secure.info/auth Please act now.,1
IT Support: reset required. Click to re-authenticate: http://microsoft-support-alert.net/verify,1
Your subscription to Bank is active until 2026-03-10. More info: https://www.dhl.com,0
Bank notice: suspicious transaction. Please validate your identity: http://microsoft-support-alert.net/verify Verify within 1 hour.,1
Your order #64469 has shipped. Track it in your account dashboard.,0
IT Support: reset required. Click to re-authenticate: http://185.12.44.9/login Please act now.,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://dhl-track-package.support/confirm This is your final notice.,1
Invoice #49385 is overdue. Pay immediately to avoid penalty: http://bit.ly/3xYzAbC Please act now.,1
Receipt for your purchase at Google. Total: $9.99. Thank you.,0
Project update: please review the attached report and share feedback.,0
Bank notice: suspicious transaction. Please validate your identity: http://bit.ly/3xYzAbC Please act now.,1
Monthly statement is available in your secure portal.,0
Project update: please review the attached report and share feedback.,0
Your subscription to Bank is active until 2026-03-12. More info: https://support.google.com,0
Congratulations! You won a prize. Claim within 24 hours: http://185.12.44.9/login,1
Your subscription to Apple ID is active until 2026-03-08. More info: https://www.netflix.com,0
Invoice #11144 is overdue. Pay immediately to avoid penalty: http://bit.ly/3xYzAbC,1
Meeting reminder: project management at 09:00. Location: Teams.,0
Newsletter: New articles about data visualization. Read on our website.,0
IT Support: reset required. Click to re-authenticate: http://security-verify-login.com/update,1
We couldn't deliver your package. Update delivery address: http://dhl-track-package.support/confirm,1
Reminder: appointment confirmed for 2026-03-12 at 11:30.,0
URGENT: Your PayPal account will be suspended. Verify now: http://bit.ly/3xYzAbC,1
Welcome to Orange! Here are tips to get started. More info: https://www.dhl.com,0
Invoice #26778 is overdue. Pay immediately to avoid penalty: http://185.12.44.9/login,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://paypaI.com-login-secure.info/auth Please act now.,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://paypaI.com-login-secure.info/auth,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://account-locked-reset.com/recover,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://security-verify-login.com/update,1
Project update: please review the attached report and share feedback. More info: https://www.netflix.com,0
Invitation: join our webinar on project management at 11:30. More info: https://www.dhl.com,0
Your subscription to Dropbox is active until 2026-03-05.,0
Payment failed. Update billing information: http://security-verify-login.com/update,1
We couldn't deliver your package. Update delivery address: http://paypaI.com-login-secure.info/auth This is your final notice.,1
Project update: please review the attached report and share feedback. More info: https://www.dhl.com,0
Welcome to Bank! Here are tips to get started.,0
Receipt for your purchase at DHL. Total: $9.99. Thank you.,0
Newsletter: New articles about AI. Read on our website.,0
Meeting reminder: project management at 11:30. Location: Office.,0
Receipt for your purchase at Apple ID. Total: $49.00. Thank you.,0
Payment failed. Update billing information: http://bit.ly/3xYzAbC,1
Project update: please review the attached report and share feedback. More info: https://www.paypal.com,0
URGENT: Your DHL account will be suspended. Verify now: http://bit.ly/3xYzAbC,1
Payment failed. Update billing information: http://account-locked-reset.com/recover This is your final notice.,1
We couldn't deliver your package. Update delivery address: http://microsoft-support-alert.net/verify This is your final notice.,1
Meeting reminder: cybersecurity at 16:15. Location: Lab 2. More info: https://www.amazon.com,0
Newsletter: New articles about AI. Read on our website.,0
Invoice #32266 is overdue. Pay immediately to avoid penalty: http://account-locked-reset.com/recover,1
Welcome to Dropbox! Here are tips to get started.,0
Congratulations! You won a prize. Claim within 24 hours: http://security-verify-login.com/update Please act now.,1
Action required: tax refund pending. Submit details: http://microsoft-support-alert.net/verify Verify within 1 hour.,1
Welcome to DHL! Here are tips to get started.,0
Invoice #56956 is overdue. Pay immediately to avoid penalty: http://security-verify-login.com/update Verify within 1 hour.,1
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover This is your final notice.,1
IT Support: reset required. Click to re-authenticate: http://bit.ly/3xYzAbC Please act now.,1
Meeting reminder: maintenance predictive at 09:00. Location: Room A. More info: https://www.amazon.com,0
Reminder: appointment confirmed for 2026-03-12 at 18:00. More info: https://www.netflix.com,0
We couldn't deliver your package. Update delivery address: http://bit.ly/3xYzAbC,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://bit.ly/3xYzAbC Please act now.,1
Your subscription to Netflix is active until 2026-03-05.,0
Meeting reminder: maintenance predictive at 09:00. Location: Teams.,0
Welcome to Orange! Here are tips to get started. More info: https://www.microsoft.com,0
Welcome to Bank! Here are tips to get started.,0
Meeting reminder: data visualization at 11:30. Location: Office.,0
Congratulations! You won a prize. Claim within 24 hours: http://microsoft-support-alert.net/verify Please act now.,1
Payment failed. Update billing information: http://account-locked-reset.com/recover,1
Invoice #56208 is overdue. Pay immediately to avoid penalty: http://185.12.44.9/login,1
Action required: tax refund pending. Submit details: http://microsoft-support-alert.net/verify Please act now.,1
Your order #97336 has shipped. Track it in your account dashboard.,0
Receipt for your purchase at PayPal. Total: $250.00. Thank you.,0
Invitation: join our webinar on quality at 09:00.,0
Payment failed. Update billing information: http://account-locked-reset.com/recover,1
Project update: please review the attached report and share feedback.,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://account-locked-reset.com/recover,1
Payment failed. Update billing information: http://bit.ly/3xYzAbC,1
Newsletter: New articles about data visualization. Read on our website.,0
Reminder: appointment confirmed for 2026-03-08 at 18:00.,0
Bank notice: suspicious transaction. Please validate your identity: http://bit.ly/3xYzAbC,1
Meeting reminder: project management at 11:30. Location: Zoom.,0
Your subscription to DHL is active until 2026-03-05.,0
Action required: tax refund pending. Submit details: http://account-locked-reset.com/recover Please act now.,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://account-locked-reset.com/recover Please act now.,1
Payment failed. Update billing information: http://dhl-track-package.support/confirm,1
Your subscription to Orange is active until 2026-03-12. More info: https://www.microsoft.com,0
Congratulations! You won a prize. Claim within 24 hours: http://account-locked-reset.com/recover Verify within 1 hour.,1
Meeting reminder: data visualization at 18:00. Location: Office. More info: https://www.amazon.com,0
Your order #89655 has shipped. Track it in your account dashboard.,0
Welcome to Google! Here are tips to get started.,0
URGENT: Your Apple ID account will be suspended. Verify now: http://paypaI.com-login-secure.info/auth,1
Invitation: join our webinar on AI at 09:00.,0
Invoice #67169 is overdue. Pay immediately to avoid penalty: http://paypaI.com-login-secure.info/auth,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://paypaI.com-login-secure.info/auth Verify within 1 hour.,1
Project update: please review the attached report and share feedback.,0
Project update: please review the attached report and share feedback.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://paypaI.com-login-secure.info/auth,1
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover This is your final notice.,1
Reminder: appointment confirmed for 2026-03-08 at 11:30. More info: https://www.paypal.com,0
Your order #63299 has shipped. Track it in your account dashboard.,0
Reminder: appointment confirmed for 2026-03-12 at 18:00. More info: https://www.microsoft.com,0
Bank notice: suspicious transaction. Please validate your identity: http://185.12.44.9/login,1
URGENT: Your Orange account will be suspended. Verify now: http://paypaI.com-login-secure.info/auth This is your final notice.,1
Bank notice: suspicious transaction. Please validate your identity: http://185.12.44.9/login,1
Invoice #56755 is overdue. Pay immediately to avoid penalty: http://microsoft-support-alert.net/verify Verify within 1 hour.,1
URGENT: Your Netflix account will be suspended. Verify now: http://bit.ly/3xYzAbC,1
Bank notice: suspicious transaction. Please validate your identity: http://dhl-track-package.support/confirm,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://paypaI.com-login-secure.info/auth,1
Payment failed. Update billing information: http://account-locked-reset.com/recover,1
IT Support: reset required. Click to re-authenticate: http://185.12.44.9/login This is your final notice.,1
Project update: please review the attached report and share feedback.,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://bit.ly/3xYzAbC This is your final notice.,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://bit.ly/3xYzAbC,1
Monthly statement is available in your secure portal.,0
Bank notice: suspicious transaction. Please validate your identity: http://paypaI.com-login-secure.info/auth This is your final notice.,1
Action required: tax refund pending. Submit details: http://microsoft-support-alert.net/verify,1
Invitation: join our webinar on IoT at 09:00.,0
Congratulations! You won a prize. Claim within 24 hours: http://microsoft-support-alert.net/verify Please act now.,1
IT Support: reset required. Click to re-authenticate: http://account-locked-reset.com/recover Please act now.,1
Newsletter: New articles about data visualization. Read on our website.,0
Action required: tax refund pending. Submit details: http://security-verify-login.com/update This is your final notice.,1
We couldn't deliver your package. Update delivery address: http://microsoft-support-alert.net/verify,1
Invitation: join our webinar on maintenance predictive at 18:00.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://account-locked-reset.com/recover,1
IT Support: reset required. Click to re-authenticate: http://account-locked-reset.com/recover,1
Payment failed. Update billing information: http://bit.ly/3xYzAbC,1
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover,1
We couldn't deliver your package. Update delivery address: http://dhl-track-package.support/confirm,1
Invoice #43942 is overdue. Pay immediately to avoid penalty: http://185.12.44.9/login,1
Congratulations! You won a prize. Claim within 24 hours: http://bit.ly/3xYzAbC This is your final notice.,1
Bank notice: suspicious transaction. Please validate your identity: http://microsoft-support-alert.net/verify Verify within 1 hour.,1
Invoice #63134 is overdue. Pay immediately to avoid penalty: http://paypaI.com-login-secure.info/auth,1
Reminder: appointment confirmed for 2026-03-10 at 11:30. More info: https://www.amazon.com,0
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover Please act now.,1
Bank notice: suspicious transaction. Please validate your identity: http://microsoft-support-alert.net/verify This is your final notice.,1
Your subscription to Dropbox is active until 2026-03-12.,0
Bank notice: suspicious transaction. Please validate your identity: http://bit.ly/3xYzAbC,1
Action required: tax refund pending. Submit details: http://security-verify-login.com/update,1
Invitation: join our webinar on project management at 11:30.,0
Your order #80121 has shipped. Track it in your account dashboard.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://185.12.44.9/login,1
Action required: tax refund pending. Submit details: http://bit.ly/3xYzAbC This is your final notice.,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://185.12.44.9/login,1
We couldn't deliver your package. Update delivery address: http://microsoft-support-alert.net/verify,1
Payment failed. Update billing information: http://account-locked-reset.com/recover This is your final notice.,1
Reminder: appointment confirmed for 2026-03-12 at 11:30.,0
URGENT: Your PayPal account will be suspended. Verify now: http://microsoft-support-alert.net/verify Please act now.,1
Payment failed. Update billing information: http://185.12.44.9/login Verify within 1 hour.,1
Meeting reminder: maintenance predictive at 11:30. Location: Lab 2. More info: https://www.netflix.com,0
URGENT: Your Bank account will be suspended. Verify now: http://paypaI.com-login-secure.info/auth Please act now.,1
Payment failed. Update billing information: http://security-verify-login.com/update,1
Project update: please review the attached report and share feedback. More info: https://www.paypal.com,0
Invoice #98234 is overdue. Pay immediately to avoid penalty: http://microsoft-support-alert.net/verify Please act now.,1
Newsletter: New articles about project management. Read on our website.,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://paypaI.com-login-secure.info/auth Verify within 1 hour.,1
Action required: tax refund pending. Submit details: http://185.12.44.9/login Please act now.,1
Your subscription to Dropbox is active until 2026-03-05.,0
IT Support: reset required. Click to re-authenticate: http://bit.ly/3xYzAbC,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://microsoft-support-alert.net/verify This is your final notice.,1
Bank notice: suspicious transaction. Please validate your identity: http://security-verify-login.com/update,1
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://microsoft-support-alert.net/verify Please act now.,1
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover Please act now.,1
Invoice #97753 is overdue. Pay immediately to avoid penalty: http://security-verify-login.com/update This is your final notice.,1
Project update: please review the attached report and share feedback.,0
Meeting reminder: AI at 16:15. Location: Office.,0
Action required: tax refund pending. Submit details: http://bit.ly/3xYzAbC,1
Action required: tax refund pending. Submit details: http://185.12.44.9/login Please act now.,1
Reminder: appointment confirmed for 2026-03-12 at 16:15.,0
Receipt for your purchase at Bank. Total: $120.50. Thank you.,0
Reminder: appointment confirmed for 2026-03-12 at 18:00. More info: https://www.amazon.com,0
Meeting reminder: project management at 16:15. Location: Teams.,0
Your mailbox storage is full. Upgrade to keep receiving emails: http://microsoft-support-alert.net/verify,1
Project update: please review the attached report and share feedback.,0
Welcome to Microsoft 365! Here are tips to get started.,0
Project update: please review the attached report and share feedback.,0
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover This is your final notice.,1
Newsletter: New articles about AI. Read on our website.,0
Welcome to DHL! Here are tips to get started.,0
Invoice #90691 is overdue. Pay immediately to avoid penalty: http://account-locked-reset.com/recover,1
IT Support: reset required. Click to re-authenticate: http://account-locked-reset.com/recover Please act now.,1
Meeting reminder: project management at 14:00. Location: Teams.,0
Your order #51237 has shipped. Track it in your account dashboard. More info: https://www.netflix.com,0
Congratulations! You won a prize. Claim within 24 hours: http://bit.ly/3xYzAbC This is your final notice.,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://microsoft-support-alert.net/verify,1
Invitation: join our webinar on maintenance predictive at 11:30.,0
URGENT: Your Bank account will be suspended. Verify now: http://185.12.44.9/login,1
Your order #44425 has shipped. Track it in your account dashboard.,0
